,Emotion,processed_message
11947,sadness,stupid img wid height src http voicesfromkrypton stupid img width height src http voicesfromkrypton
11948,sadness,littl needy ton not little needy tone note
11949,fear,long run hurt pau could vis see distraught result perceiv perform long run hurt paulie could visibly see distraught result perception performance
11950,sadness,stressed whenev sleep friend stress whenever sleep friends
11951,joy,slight charm wish slightly charm wishful
11952,fear,rememb two spec thing class terr teach would rep quest span increas volum victim eith man answ correct ran away screaming distract cut boy help study test remember two specific things class terrify teacher would repeat question spanish increase volume victim either manage answer correctly run away scream distract cute boy help study test
11953,joy,mellow right think anyth mind wor writ mellow right think anything mind worth write
11954,joy,find impress bezo gon routin presum pres multipl tim already run multipl tim left anoth set report privileg got audy find impressive bezos go routine presumably presentation multiple time already run multiple time leave another set reporters privilege get audience
11955,sadness,regret might don think rememb regretful might do think remember
11956,sadness,letharg unmot morn wak blog catch thing could morn ev fre lethargic unmotivated mornings wake blog catch things could mornings even free
11957,anger,real could thing felt slight annoy nurs every tim push kept say thing lik incred strong wom strong strong really could thing felt slightly annoy nurse every time push keep say things incredibly strong woman strong strong
11958,fear,shy peopl read writ broth sist would see real lif work shy people read write brothers sisters would see real life work
11959,sadness,tir sorry decid thank pra lord rod tire sorry decide thankful praise lord ride
11960,surprise,surpr react young wom alway thought would darl old wom surprise reaction younger woman always think would darling older woman
11961,surprise,suppos work grant apply overwhelm decid curl comput netflix suppose work grant application overwhelm decide curl computer netflix
11962,surprise,bit stun act bite stun actually
11963,sadness,beg unimport useless insec disconnect everyth us know begin unimportant useless insecure disconnect everything use know
11964,sadness,puppy dog rainbow exhaust ye believ hour work week exhaust work pil abl laundry grocery shop week thing puppy dog rainbows exhaust yes believe hour work week exhaust work pile able laundry grocery shop week things
11965,joy,pac slow book rich world build set fut plot ad bon pace slow book rich world build set future plot add bonus
11966,sadness,grandfath died liv almost reclus car wel dad help much could grandfather die live almost recluse care well dad help much could
11967,anger,lik both bother
11968,sadness,low liv high chor post chor outro nee nee nee dop low live high chorus post chorus outro need need need dope
11969,sadness,mak blog post melancho run vein make blog post melancholy run vein
11970,joy,vit googl becom play altogeth web technolog af schmidt vital google become player altogether web technology aforementioned schmidt
11971,sadness,went lds step meet overwhelm evil brok said meet express low felt ready leav body go lds step meet overwhelm evil break say meet express low felt ready leave body
11972,joy,might cool might cool
11973,sadness,awkward start act awkward lol awkward start act awkward lol
11974,sadness,go back vil real lon go back village really lonely
11975,anger,think lon grouchy agit esy airrit think lonely grouchy agitate esily airritated
11976,joy,lik hes smart convers many thing shar everyth want shar ask opin whatev hes smart converse many things share everything want share ask opinion whatever
11977,anger,get new year ev mak rebel und get new years eve make rebellious underage
11978,joy,valu lesson valuable lesson
11979,surprise,shock many peopl talk seen movy shock many people talk see movie
11980,anger,angry disgust angry disgust
11981,sadness,afraid regret tim afraid regretful time
11982,surprise,lik crav mat ord real impress crave matter order really impress
11983,fear,wok distress instead rest hard chang gear ask mik two night ago dream mast gradu dream held wat park wake distress instead rest hard change gear ask mike two nights ago dream master graduation dream hold water park
11984,anger,greedy work img height src http forum greedy work img height src http forums
11985,sadness,dnt want yu guy sham fr knwing nthing instead f pretend r plastik dnt want yu guy sham fr knwing nthing instead f pretend r plastikan
11986,joy,cut lik cute
11987,sadness,must say makeov consum coupl maj chang work cowork baby lik neglect lady must say makeover consume couple major change work coworkers baby neglectful lady
11988,love,start compass toward roslin start compassionate towards roslin
11989,joy,beyond ecst acaus beyond ecstatic acause
11990,sadness,cont anyth els mis concentrate anything else miserable
11991,sadness,tru sorry truly sorry
11992,joy,tak away expery slow bad thing lik thing suck choos fin take away experience slow bad thing things suck choose fine
11993,joy,lik want tak on supery cap suppos stronger curios kil think want take one superior cap suppose stronger curiosity kill think
11994,surprise,tak three rol shot far real way strange camer lightmet long forgot thought process slow photograph take three roll shots far really way strange camera lightmeter long forget think process slow photography
11995,joy,real good first impress on real lik us friend first mov really good first impression one really us friendly first move
11996,joy,art googl art project artistic google art project
11997,joy,innoc world going becom gre friend innocent world go become great friends
11998,joy,though rob much sum pleas although start grand idea project would don structure would kept clev new plac would go though rob much summer pleasant although start grand ideas project would do structure would keep clever new place would go
